category,img,lines,url
SMILE,https://assets.passiton.com/quotes/quote_artwork/6258/medium/20220908_thursday_quote.jpg,A smile is a curve that sets everything straight.  #<Author:0x0000562255f552d0>,/inspirational-quotes/4471-we-rise-by-lifting-others
SMILE,https://assets.passiton.com/quotes/quote_artwork/7905/medium/20220907_wednesday_quote.jpg,"Just one smile, immensely increases the beauty, of the universe. #<Author:0x0000562255fd77a8>",/inspirational-quotes/6441-its-not-what-you-look-at-that-matters-its-what
SMILE,https://assets.passiton.com/quotes/quote_artwork/8145/medium/20220906_tuesday_quote.jpg,"If you see someone without a smile, give them one of yours. #<Author:0x0000562255fb3308>",/inspirational-quotes/4171-twenty-years-from-now-you-will-be-more
SMILE,https://assets.passiton.com/quotes/quote_artwork/7323/medium/20220905_monday_quote.jpg,"Too often we underestimate the power of a touch, a smile, a kind word... all of which have the potential to turn a life around. #<Author:0x000056225607dfe0>",/inspirational-quotes/7692-you-yourself-as-much-as-anybody-in-the-entire
PEACE,https://assets.passiton.com/quotes/quote_artwork/8357/medium/20220902_friday_quote.jpg,"Every breath we take, every step we make, can be filled with peace, joy and serenity. #<Author:0x0000562256028f18>",/inspirational-quotes/7587-each-time-we-face-our-fear-we-gain-strength
PEACE,https://assets.passiton.com/quotes/quote_artwork/8177/medium/20220901_thursday_quote.jpg,"When we create peace and harmony and balance in our minds, we will find it in our lives.  #<Author:0x00005622560f48e8>",/inspirational-quotes/7491-a-single-act-of-kindness-throws-out-roots-in
PEACE,https://assets.passiton.com/quotes/quote_artwork/7583/medium/20220831_wednesday_quote_alt.jpg,Peace begins with a smile. #<Author:0x00005622560d2388>,/inspirational-quotes/7323-too-often-we-underestimate-the-power-of-a
PEACE,https://assets.passiton.com/quotes/quote_artwork/3328/medium/20220830_tuesday_quote.jpg,Choose love and peace will follow. Choose peace and love will follow. #<Author:0x00005622560a3d08>,/inspirational-quotes/6508-confidence-comes-not-from-always-being-right
PEACE,https://assets.passiton.com/quotes/quote_artwork/7429/medium/20220829_monday_quote.jpg,"Peace, like charity, begins at home. #<Author:0x000056225612ae70>",/inspirational-quotes/8014-to-achieve-a-kinder-world-we-must-approach
LOVE,https://assets.passiton.com/quotes/quote_artwork/6900/medium/20220826_friday_quote.jpg,Let us see what love can do. #<Author:0x000056225610d208>,/inspirational-quotes/7921-be-humble-in-your-confidence-yet-courageous-in
LOVE,https://assets.passiton.com/quotes/quote_artwork/6128/medium/20220825_thursday_quote.jpg,"May love and laughter light your days, and warm your heart and home. May good and faithful friends be yours wherever you may roam...
 #<Author:0x0000562256187968>",/inspirational-quotes/8353-the-best-ideas-emerge-when-very-different
